time,humidity
2024-04-28 22:31:23,1.69
2024-04-28 22:31:24,9.55
2024-04-28 22:31:25,31.51
2024-04-28 22:31:26,11.24
2024-04-28 22:31:27,-9.32
2024-04-28 22:31:28,25.53
2024-04-28 22:31:29,-8.57
2024-04-28 22:31:30,-3.26
2024-04-28 22:31:31,2.58
2024-04-28 22:31:32,-4.06
2024-04-28 22:31:33,1.97
2024-04-28 22:31:34,24.82
2024-04-28 22:31:35,-4.54
2024-04-28 22:31:36,5.06
2024-04-28 22:31:37,14.72
2024-04-28 22:31:38,-4.02
2024-04-28 22:31:39,32.96
2024-04-28 22:31:40,30.26
2024-04-28 22:31:41,-14.21
2024-04-28 22:31:42,39.81
2024-04-28 22:31:43,30.01
2024-04-28 22:31:44,-0.62
2024-04-28 22:31:45,-1.27
2024-04-28 22:31:46,34.24
2024-04-28 22:31:47,-3.06
2024-04-28 22:31:49,28.91
2024-04-28 22:31:50,32.80
2024-04-28 22:31:51,21.96
2024-04-28 22:31:52,33.91
2024-04-28 22:31:53,16.82
2024-04-28 22:31:54,-19.08
2024-04-28 22:31:55,-15.85
2024-04-28 22:31:56,20.44
2024-04-28 22:31:57,30.85
2024-04-28 22:31:58,23.16
2024-04-28 22:31:59,-10.56
